id,author,description,pubdate
511,@zuladnan1593,wasit benar dong,2024-04-30 10:47:10
512,@agengas3kg230,idonesya,2024-04-30 10:46:51
513,@eunlightemperor6618,perang aja kita apa main kaya gitu ,2024-04-30 10:46:22
514,@jelitadera3181,matane wasit e kero ta,2024-04-30 10:45:14
515,@agengas3kg230,curang nya gak ngotak kek gamau banget indo menang,2024-04-30 10:47:13
516,@AmeliaharahapAmeliaharahap,wasit asu janc0k,2024-04-30 10:42:14
517,@naifasyaDewifaiza,mah wasit nya gak jelas gilir tim lawan leding malah renti gilir arah kena leding malah lanjut indonesia semangat,2024-04-30 10:41:54
518,@naifasyaDewifaiza,timnas garuda tetap kuat mental jangan kendor teamwork kalah suatu kunci barah semangat terbang,2024-04-30 10:41:09
519,@alfatihmakkuraga4292,minta bantu mk biar menang ini kancah internasional bung bukan lokal enak sendiri menang sesuai mau,2024-04-30 10:40:07
520,@luluchanel403,hadeeeeeeh dr jaman bahelaaaaaa kalo musuh sama negara laen keok ros pmaen 62 gila sanjung ujung2xa kalah,2024-04-30 10:38:29
521,@vanzzxytzz7583,wasit celeng asu,2024-04-30 10:36:04
522,@RonorRene,ga usah mimpi bsa hebat main indonisia klo pejbat msih hobi koruksi,2024-04-30 10:35:01
523,@kmcc337,waset curang,2024-04-30 10:33:26
524,@user-lz7tp9hl3i,indo gobok,2024-04-30 10:32:28
525,@jhonprando8910,lihat u ganjar kartu merah timnas indonesia wasit var thaoland ulang langgar 000x,2024-04-30 10:31:43
526,@yuniatipangaribuan2793,wajar kartu merah anulir gol kalah kelas aja main indonesia penting tetap semangat tanding lanjut,2024-04-30 10:31:21
527,@unyillofficial1922,bismillah cuma waktu  ,2024-04-30 10:29:15
528,@Mamak799,terlalu hebat indonesia negara takut ,2024-04-30 10:28:44
529,@kiplikipli7668,hahha wasit nya mah curang,2024-04-30 10:28:39
530,@corere7680,klw wasit yg kaya gitu ngga usah pakai,2024-04-30 10:27:10
531,@srisuprihatin9953,yernyata benar2 yg memggagalkan gol indonesia wasiy var asal thailand,2024-04-30 10:26:22
533,@feryrensirensi2903,baju putih banggah menang curang ,2024-04-30 10:25:20
534,@Aditya.B.F, sedih main beda sama pas korsel yordan bobol 1 lgs main panjang pdhl selalu kalah set piecenya 1 ksempatan lg olimpiade lah ayooo juara 3 ajah,2024-04-30 10:24:46
535,@user-kg6xp4pc9r,tetap bangga dukung terus timnas ,2024-04-30 10:24:39
536,@fadiljuari241,udah gol bah tadi ngakak,2024-04-30 10:23:21
537,@user-kg6xp4pc9r,knp arkhan yg keluar,2024-04-30 10:23:05
538,@kirimcepat1747,nya kalo indonesia kalah semua kalah lah curqng banget sih isss najis,2024-04-30 10:21:55
539,@desmondharatua3667,ya kalah indonesia ,2024-04-30 10:21:31
540,@muhsyahrifulanzab7707,curang banget,2024-04-30 10:21:14
541,@paman_ternak,curqng,2024-04-30 10:20:51
542,@Mamak799,timnas indonesia milik sempat dapat tiket tuju olimpiade paris moga mimpi mimpi tetap wujud,2024-04-30 10:19:58
544,@kirimcepat1747,oke apa pus juri terima ingat uji tantang akumau kalian tetap semangat aku bangga punya latih sty moga depan indonesia lebih mantap ,2024-04-30 10:16:06
545,@wawan123-ok1mf,wasit curang trima suap,2024-04-30 10:11:41
546,@BanisPonsel,buat ajar buat masa depan indonesia main sepak bola butuh banyak seni bukan seni olah bola  tindak emosi main hadap tekan seni bagaimana lihat tenang mau imbang main lebih class walaupun akhir kalah adu penalti korea sini lihat mhental main bnar bnar jtuh itu gunany sport science,2024-04-30 10:09:59
547,@mohammadkurniasuranata8660,wasit nya curang,2024-04-30 10:09:44
548,@fachryzaidan5131,mau menang atau kalah tetep bangga main timnas ,2024-04-30 10:08:10
549,@BanisPonsel,wasit bayar,2024-04-30 10:07:31
550,@TrianaAnggi,gak pa pa lah garuda muda indonesia semangat nyala abangkuh ,2024-04-30 10:06:44
551,@maryanihusman2032,wasit gak jelas,2024-04-30 10:06:32
552,@user-jg5no2dw2z,klo klh yg salahin wasit ini udah jaman old sampe sekarang gentayang,2024-04-30 10:06:21
553,@maryanihusman2032,tim luar biasa ukir sejarah pertama kali apalagi asia tenggara cuma indonesia masuk empat final good luck,2024-04-30 10:05:45
554,@maryanihusman2032,wasit bayar dah tau gol batal dah tau mau tendang bola kena dikit doang kartu merah atur kartu kuning,2024-04-30 10:05:21
555,@fadilofficial_29,semangat garuda muda kalian ayo menang lawan irak ambil tiket olimpiade parus sebut warna indinesia aka terus dukung doa mu,2024-04-30 10:05:05
556,@EvaSusanti-ye6ys,sangat wajar kartu merah,2024-04-30 10:04:45
557,@JhonSilalahi-dw3bo,wasit konto1111,2024-04-30 10:04:45
558,@darosidtriyanto9798,aku tahu atur offside lama bola sentuh gerak atas sentuh sang umpan sang terima umpan lewat garis main belakang bola gerak atas sentuh beri umpan nyata terima umpan lewat garis main belakang masuk onside,2024-04-30 10:04:38
559,@user-fo3di7pl1s,inti offside tu gin 3 main  a umpan b yamg ada posisi offside lalu b hindar jalan bola ubah jadi milik c posisi onside lalu c laku tembak gawang gol nyata sah beda cerita kalo suda sentuh main b lebih dahulu posisi main off on side lebih utama lihat siapa yamg terima  kasus gol ferari benar sah,2024-04-30 10:04:11
560,@cutjumiati7439,indonesia gila,2024-04-30 10:02:41
561,@santososadewo6878,wasit ras masak indo udah goal gak hitung tapih uzb goal hitung wasit cina dipecay,2024-04-30 10:02:41
562,@idoplayz3787,wasit curang coik,2024-04-30 10:02:25
563,@An_-divz,ikan sepat ikan tongkol wasit konnn,2024-04-30 10:02:21
564,@BanisPonsel,menang g hormat kamu usbek norak,2024-04-30 10:02:04
565,@kadalireng8445,menang kalah suda biasa seng penting suda juang ber usaha menang juara sllu aq dukung indonesia semangat,2024-04-30 10:01:31
566,@feroztv3125,tetap bangga jadi warga indo,2024-04-30 10:01:03
567,@piktoriabrtarigan1298,alhamdulillah garuda muda indonesia tembus semifinal suatu prestasi luar biasa lolos olimpiade atas ridho allah swt doa seluruh masyarakat indonesia,2024-04-30 10:00:55
569,@andreaswatu946,bikinkecewa,2024-04-30 9:59:32
570,@reyvan-fk4yp,santai slow kakak  main besok,2024-04-30 9:58:50
571,@mochammadabyanfadillah8415,tetap oke pribadi ngebayangin main timnas btp lelah mati2an lawan korsel sejak vs australia fight benar2 gila fisik stamina main timnas so bangga tetap menyalaaa,2024-04-30 9:58:39
572,@papamuda8483,wasit bayar ken akutampol wasiya latih main bikin geram aja wasit 2 52 ,2024-05-01 11:45:54
574,@muhammademail-ku8vu,timnas indonesia tdk serah,2024-04-30 9:58:30
575,@mquzz8230,indo win 2 vs 0 uzbekistan,2024-04-30 9:58:15
576,@dasarutomo-ej1zn,good game guys i like indonesia,2024-04-30 9:57:53
577,@Watanabe-sc1ci,wasit curang ulang aneh wasite timpuk aja ulang,2024-04-30 9:57:51
578,@user-gm7iy2kr3i,mafia bola belakang afc waktu lawan korea karna bnyak yg jagoin korea wasit upaya detail mungkin pro indonesia lawan usbek bursa taruh bnyak megang indonesia mafia nyuruh wasit var laku buat usbekistan dari dlu sepak bola asia gin trus mknya gk maju2,2024-04-30 9:56:42
579,@Mr.Jhons-yr4pc,saya terlalu banyak mafia lalu lalang qatar,2024-04-30 9:56:38
580,@Pink_ch234,wasit nya bodoh didik sama bapak and mamak nya ,2024-04-30 9:56:29
581,@baharuddinemba902,ulang to tanding nya,2024-04-30 9:56:21
582,@Pink_ch234,piala afc mudah sogok wasit ah sudah sepak bola gak yg bersih arti qatar uzbekistan ketar tir hadap timnas garuda indonesia,2024-04-30 9:55:57
583,@AbielAbinaya,ga sanggup gw liat nya,2024-04-30 9:55:51
584,@user-fi2vy5ym9h,bikin sok wasit nye,2024-04-30 9:55:36
585,@black_jegonk4481,yot wasit nya blog,2024-04-30 9:54:30
586,@AbielAbinaya,lawan qatar indonesia rugi karna pake var skrg gegara var indonesia rugi,2024-04-30 9:54:06
587,@zainalkoto4380,memang berat 10 main lawan 11 main adil lapang tetap semangat garuda ku ,2024-04-30 9:53:47
588,@Sarofah-br9nr,wasit nya curang ,2024-04-30 9:52:32
589,@zainalkoto4380,wasit anjj,2024-04-30 9:51:45
590,@user-fi2vy5ym9h,masalah angle var,2024-04-30 9:51:04
591,@user-si5to1yw6m,wasit curang banyak enggak suka maju sepak bola indonesia,2024-04-30 9:51:00
592,@RonggurPardamean-jq4qs,awal idn banyak suka sepak bola maju musuh idn bukan lawan main wasit ketua fifa nya idn sulit utk maju ganjal sana sini,2024-04-30 9:50:30
593,@darmantonova10,kalah skill uzbek pemaen nya macem lenci semua lincah2 good record anyway congrats,2024-04-30 9:49:56
594,@DonyandFiran0421,di wajib pasang kawat gigi striker timnas,2024-04-30 9:48:45
595,@taufikurahmango-jekdriver1892,wasit otak hilang,2024-04-30 9:48:15
596,@defmusicqu3598,marselino rizki ridho,2024-04-30 9:48:07
597,@mroyra7263,timnas main kurang pede ga kaya biasa dapet bola banyak main belakang oper2 kiper depan ga idup jadi main gampang patah sma tim lawan ttp semangat buat timnas,2024-04-30 9:48:04
598,@taufikurahmango-jekdriver1892,definisi wasit bayar,2024-04-30 9:47:37
599,@Ajoywave_,indonesia kalah gara gara bayar ege,2024-04-30 9:47:26
600,@meyfisondakhorgmanadohalmahera,bekam putra ga main u23,2024-04-30 9:47:26
603,@tjpras9251,bangga garuda muda perjuanganyg mudah titik ini libas tim2 kuat asia australia yordania n korsel tetap semangat,2024-04-30 9:44:20
604,@user-yd9ox8og1m,santet aja wasit,2024-04-30 9:44:16
605,@user-mp1uk2gl5k,eh ada yg maen bola,2024-04-30 9:44:00
606,@duniaseni7495,r rido manaetabbb,2024-04-30 9:43:08
607,@josereynaldihutapea3649,sing genah sampean dadi wasit wan bae nganah,2024-04-30 9:41:45
608,@adensuwarto1789,vs,2024-04-30 9:41:03
609,@purplesyndrome,wasit curang ulang pertandinganya,2024-04-30 9:41:00
610,@senjadiufukufuk4153,indonesia emas semangat ttp semangat,2024-04-30 9:40:51
611,@kerenmuhammad9133, 1,2024-04-30 9:40:46
612,@shabiha8783,santett bae wasite,2024-04-30 9:40:39
613,@windian2898,wasit china kapir,2024-04-30 9:40:17
614,@sudiatman1145,wasit model apa begitu,2024-04-30 9:40:13
615,@nihelsakti89,var var pantek,2024-04-30 9:39:58
616,@bagussulaiman1358,wasit an7ing,2024-04-30 9:39:25
617,@user-jp7nr3jy6h,fifa fair play please ,2024-04-30 9:36:53
618,@MuhammadsudiSudi,wasit loho,2024-04-30 9:36:41
619,@anggitaditya3968,kalah menang garuda muda wajib main serang strategi tahan bukan garuda muda ganas karna serang tuju,2024-04-30 9:36:25
620,@mcri001,serang,2024-04-30 9:33:13
621,@NANANANA-hv7ge,kalah indonesia erick tohir terlalu agresif nyari panggung ,2024-04-30 9:31:15
622,@ATTAYURA_L.K,gregetan sampe nang jir,2024-04-30 9:30:02
623,@nikmatulhidayah5566,kapten o 0n bola silang ndak tanduk faktor pendek x,2024-04-30 9:29:44
624,@YadinYadiny,komentarornya orang uzbekistan apa orang indonesia sih sebenernya,2024-04-30 9:29:17
625,@adianto3566,indonesia menang,2024-04-30 9:28:27
626,@user-yp3rx2ve1i,percuma menang curang,2024-04-30 9:28:15
627,@YadinYadiny,haduh basit curang bngat,2024-04-30 9:28:12
628,@nikmatulhidayah5566,curangggggg,2024-04-30 9:28:08
629,@ZulEmri-kd4vy,strategi defensif modal counter-attack gak dipake asia timur amerika selatan bagi besar eropam bruh balik open play gak masalah mau menang kalah,2024-04-30 9:27:51
630,@user-gq9pb9tb6q,wasit asu orang mau clearence bola trus hadang sama main uzbekt gimana mau hindar sit wasit asu kaki ridho jg mantul karna senggol dengkul main usbek masuk tengah kocilnya gimana mau ngontrol kaki sit wasit asu,2024-04-30 9:27:49
631,@ZulEmri-kd4vy,banga kerja keras juang kalian smga rebut peringkat 3 lebih hati lagi smga wasit lebih adil pimpin tanding,2024-04-30 9:27:18
633,@rahyudhy,arhan genteng sekali aku salting brutal,2024-04-30 9:25:56
634,@valenelraffif59,wasit ny curang euuy tindak tuh fifa jgn2 tuh wasit udh dpt amplop coklat pas main dr urbekiztan bnyk laku serang gak kasih kartu kuning apa lg kartu merah bgto indonesia buat salah sengaja langsung kartu kuning  kartu merah tendang gol indonesia bilang tdk sah,2024-04-30 9:25:48
635,@zemawow,wasit macam apa kok berat belah sih wasit curang,2024-04-30 9:25:05
636,@zemawow,tampa rafaek struick serang indo rada tumpul moga posisi biar lolos olimpiiade,2024-04-30 9:25:37
637,@gm-sb1if,kuat mental garuda,2024-04-30 9:24:43
638,@Mandaaaa__13_3,mungkin bila tetkena kartu merah beda cerita,2024-04-30 9:24:27
639,@kelvinlolanhuang2337,wasit ny kyk dajjal,2024-04-30 9:24:00
640,@rendiseptuaji3905,wasit g waras sters,2024-04-30 9:23:14
641,@user-pl1fk1tm5u,wasit nya ngelek dikit,2024-04-30 9:21:42
642,@Senja-mi8ol,main lawan belakang kok ofside,2024-04-30 9:21:35
643,@anggaputradayak1293,afc biar wasit2 laga sehat apa bangga main kontrol mau wasit minimal pecat wasit,2024-04-30 9:21:21
644,@bilqish1232,bayar piro jane wasite danvok,2024-04-30 9:21:06
645,@pengunjung,hidup bangsa islam ,2024-04-30 9:20:40
646,@puamaaiok5679,indonesia tetep semangat pantang serah,2024-04-30 9:20:31
647,@ditha7568,goll ferrari sah kalo gk percaya coba putar ulang ato stop menit 12 11 jelas goll sah,2024-04-30 9:20:03
648,@BJFjambi,mana yg opset apa mata balik,2024-04-30 9:19:48
649,@user-io1kz1nd3l,aq putar ber ulang ko bola angkat lebih dulu drpada kaki ramadan sananta,2024-04-30 9:17:35
650,@yadinbc4659,ramadan sananta hampir kontribusi tanding,2024-04-30 9:16:47
651,@anggaputradayak1293,gol indonesia anulir mungkin mental anak garuda turun drastis bukti babak pertama msh sanggup tahan imbang uzbekistan 0-0,2024-04-30 9:16:31
652,@sismith9493,gwe kcwa sma wasit tolong wsit yg kyk gin jgn d pkai lagi buat d piala affc,2024-04-30 9:16:21
654,@CHLN546,terima kasih atas juang timnas garuda bangga pada,2024-04-30 9:14:54
655,@budihardi5443,sporter indonesia kan tukang rusuh knp ga gulung aja tu wasit,2024-04-30 9:14:04
656,@ridhoazhar9289,penuh curang wasit nya,2024-04-30 9:11:47
657,@KecamatanKalipucang,iya wasit gb,2024-04-30 9:11:37
658,@miku-zr6ve,progres timnas lihat capai target cuma yg fomo ekpektasi lebih,2024-04-30 9:10:41
659,@AhmadNurdien-nb8jc,wasit kasih 3m,2024-04-30 9:10:25
660,@dewisri6612,wasitnyansipit,2024-04-30 9:10:07
661,@Tarie-gx3tp,kecewa mai gak adil ,2024-04-30 9:09:45
662,@HardyOkeyyy-yr3xd,gak ikhlas uzbekistan menang cara curang  tanding ulang wasit cari affair fifa tanding ulang ulang,2024-04-30 9:09:36
663,@muhammadsafaraz2764,padahal sundul ramadan ga kena dan bilang offside,2024-04-30 9:08:34
664,@guritraditya7116,tetap semangat timnas twtap bangga garusa muda,2024-04-30 9:06:45
665,@fbssakha6870,weureu cubung wasitna,2024-04-30 9:05:57
666,@fairizfairiz6203,udahlah kalah kalah para main bawah level main uzbek benar benar lawan timnas yg sangat buruk,2024-04-30 9:05:43
667,@binjaipurba5740,hahaha banyak yg hibur diri cara masing2,2024-04-30 9:03:46
668,@jhonpantau1768,kalah hormat,2024-04-30 9:03:33
669,@renoalvia1735,ga opset bola kena kiper sah gol murni,2024-04-30 9:02:26
670,@user-oc8lt1by7r,terimakasih timnas indonesia beri baik tonton,2024-04-30 9:01:52
671,@mentari5093,wasit tidaktau adseporter indonesya barbar arema cita,2024-04-30 9:01:51
672,@user-tx7ju5ig5k,wasit jadi kang parkir aja anj,2024-04-30 8:59:21
673,@kekasihyghilang3689,what a comedy of referee,2024-04-30 8:58:59
674,@NidhomMaarif,wasit,2024-04-30 9:01:07
675,@realmenarzo8450,goal dua nya mane,2024-04-30 8:58:25
676,@ElSyauqieAghna,see u i m sure the indonesian national team will fly high next time garuda ,2024-04-30 8:57:57
677,@destaeka1440,wasite edan,2024-04-30 8:56:38
678,@NgatmanPriyono,moga tanding tempat 3 nanti allah swt beri menang buat timnas indonesia u-23 ini amiin terus juang gaess bravo timnas jangan serah,2024-04-30 8:56:27
679,@ni9228,apa jadi tetap bangga timnas indonesia,2024-04-30 8:56:06
680,@febrianfidelyo8348,wasit kontrol babi,2024-04-30 8:54:46
681,@yeniapriliasandi5451,kalah menang tetap bangga timnas indonesia terimakasih beri yg baik cinta sepakbola indonesia ini akhir laga ikut tetap semangat fight back lawan iraq tgl 2 mei moga menang tuju olimpiade paris,2024-04-30 8:53:55
682,@duduciper2062,witan pinalti,2024-04-30 8:53:21
683,@yehezkielsipangkar215,banyak banget ganjal langgar yg laku uzbekistan antara menit 25 37 kalo memang bukan langgar knpa bola kasih kiper uzbe menit 53 00 peluit bunyi stlah uzbe mndapatkan bola tpi gagal yg akhir pas indo mncetak gol tpi var yg jdi tolak ukur cuma kaki pdhl tangan main uzbe lebih belakang,2024-04-30 8:51:11
684,@shufril7433,sengaja kocak kartun merah ,2024-04-30 8:50:19
685,@audioprofesional5547,piala asia u23 paling seru tonton wasit jg manusia var yg ngawasi jg manusia yg nama manusia susah ajak adil hati condong salah satu moga timnas tampil olimpiade,2024-04-30 8:49:56
686,@kurniawan6993,bngga bngt timnas,2024-04-30 8:48:07
687,@user-we5oj6dt4w,telaso wasit nya,2024-04-30 8:48:00
688,@fatihcahaya3539,langsung demam tadi malam gk tidur gra gol anulir,2024-04-30 8:47:58
689,@ghailan2020, salfok sama wasit nya,2024-04-30 8:46:57
690,@theafurahno2719,ei,2024-04-30 8:46:44
691,@hanania90,bahkan kalau indonesia udah menang d babak peryama d babak 2 pesta gol idonesia yg baik,2024-04-30 8:46:04
692,@inhuman8358,wasit china terlalu lebih layak china jadi wasit internasional malu gol indonesia batal buat main down banyak pelanggaran2 untung team uzbekkistan fifa tegas beri sanksi wasit tiongkok bener2 bodoh,2024-04-30 8:45:19
693,@ZoyFilm,mana rasa kecewa bareng rasa bangga  banyak makan gula orang,2024-04-30 8:44:49
694,@aliksan6608,main silat lari bola pantas kalah,2024-04-30 8:42:54
695,@kio209,bukan timnas indonesia kalo ketemu curang  kualitas bagus ujung ujung nya rusak kena suap ayo lah bantai siapa yg licik timnas indonesia erik tohir jangan pura2 jadi semangat,2024-04-30 8:42:37
696,@akuaisyah609,wasit bodoh ,2024-04-30 8:40:50
697,@mok9092,sekali menang tim puja sekali kalah langsung nyalahin wasit aneh emg beberapa putus kontroversial memang tetap kalah kelas lawan uzbekistan bahkan putus wasit kontroversial memang sering press susah keluar sih bagus indonesia lolos semifinal,2024-04-30 8:37:38
698,@hasriana-mh9jw,wasit nya curang,2024-04-30 8:37:23
699,@RandiSuhandi-ic1lz,wasite asu,2024-04-30 8:35:55
700,@AndriMugelar-mq8uw,wasit nya kayak t 1,2024-04-30 8:35:52
701,@masmukhlisinalbayhaqi6752,wasit nya sogok 50 000 dolar ngw3nt0d,2024-04-30 8:35:16
702,@nuralif875,main no 5 idiot  wajar sih sangat wajar kasih kartu merah,2024-04-30 8:35:15
703,@aslabejo4758,bayar nya penalti kok gk jadi ngeri bayar wasit,2024-04-30 8:35:14
704,@ALIF6-6-6,kartu merah bentuk bukti dri kecurangn wasit soal yg tendang bola duluan soal kena paha kaki atas karna bola depan bola kencang tambah lgi loncat reflek karna kaki main lawan arah kaki kiri turut sy kartu kuning aja sdh lebih hukumanya dri yg buat,2024-04-30 8:35:07
705,@hasriana-mh9jw,wajar sih gol batal  posisi main no 9 offside haram terima bola bola muntah langsung kena dia status haram jadi halal alias sah terima bola,2024-04-30 8:35:06
706,@Joshy890,kaki ramadhan maju bola lambung,2024-04-30 8:34:11
707,@AbangNovri,murni kalah kualitas,2024-04-30 8:34:04
708,@IqlabDiar,ngasi highlight banyak potong bagi bagi penting malah potong bahkan gol dua gaada memang media indonesia jadi alat giring masyarakat jadi media informasi yg buka semangat terus budak korporat,2024-04-30 8:32:12
709,@Andi-rh5iq,sumpah to wasit nya ku sumpah ma,2024-04-30 8:31:56
710,@dupedexor2721,menit 12 11 ofside,2024-04-30 8:31:04
711,@dhafinrizky9817,gegara wasit var iblis main jadi drop setting semua wasit masuk wasit var yg iblis,2024-04-30 8:30:54
712,@user-so8wj6hi6n,ulang ajah kak indonesia vs uzbekistan nya wasit nya curang ulang ajah kak masa lat indonesia kartu kuning iya emosi ulang ajah lah kan negara jelas nya ulang kak,2024-04-30 8:30:09
713,@dhafinrizky9817,serang wasit nya,2024-04-30 8:29:25
714,@MilaSarie,wasit curang,2024-04-30 8:28:12
715,@abkdj1534,coba stop pas arhan nendang bola kelit kalau sananta ofside,2024-04-30 8:26:56
716,@erwin4162,wassit taek finalty,2024-04-30 8:26:38
717,@MotorNMXMobilXENIA,hasil puja puja,2024-04-30 8:26:22
718,@OppoBaru-oy5wn,indonesia vs uzbekistan wasit lapang wasit var,2024-04-30 8:25:54
719,@Bodyguardgalaxy203,kalau liat kaki main usbekistan yg diluan nendang kaki r rido  langgar  kalau r rido memang kena bola lalu mantul lutut lalu mantul mr p nya main usbek karna memang posisi tendang power full jari susah utk tahan nya maaf yg liat sih tetap bangga tim indonesai ,2024-04-30 8:25:09
720,@sukadukaku,wasit budeg tuli buta gak lihat var jelas,2024-04-30 8:23:14
721,@user-hx2lh2cp3p,wasit apa mti aja,2024-04-30 8:22:33
722,@fdgrup6648,timnas indonesia kalah wasit,2024-04-30 8:21:47
723,@sukadukaku,cari akun media sosial wasit var asal thailand kasih hantap gimana kena mental keluarga,2024-04-30 8:20:01
724,@zavier12,main kotor uzbekistan wasit yg reputasi sangat buruk buat main garuda sangat kaku,2024-04-30 8:19:45
725,@myogapratama2075,6 55 yah gel pilih kasih,2024-04-30 8:19:36
726,@MarqwanoTurnip,uzbekistan ,2024-04-30 8:19:22
727,@HanzHoka123,bukan uzbek yg bagus indoneaia kurang bagus serang lambat,2024-04-30 8:17:34
728,@zavier12,bukan offside sih soal pas bola tendang arhan posisi sananta offside pas bola mau sundul baru kaki sananta ofside,2024-04-30 8:17:03
729,@boedakdusun7003,16 28,2024-04-30 8:16:46
730,@FebrianDwib,masuk akal risqi ridho kartu merah suruh tanding ulang wasit kek gitu buang aja jauh jauh,2024-04-30 8:16:31
731,@OpikkeceKece,tendang riski rido kena paha bukan kena burung,2024-04-30 8:15:59
732,@user-lm9fg4sc7r,wasit cina sih tidur mulu mata suruh melek coba,2024-04-30 8:14:57
733,@zavier12,rcti live ko td malm gx y malah yg chenel luar negri,2024-04-30 8:14:55
735,@ahmadfauzi2526,sumpah indonesia pas goll nggk offside,2024-04-30 8:14:15
736,@HariIr-mw6pc,satu kata timnas menang sanjung kalah ku dukung semangat terus,2024-04-30 8:13:35
737,@Masrly,indo nesia apusi wasit,2024-04-30 8:11:02
738,@alexbludakk9601,rebut juara 3 olimpiade paris doa selalu serta garuda,2024-04-30 8:10:31
739,@NurArkan345,mental timnas jatuh gara2 wasit gila var tailand tangguh usbekistan banyak drama,2024-04-30 8:10:25
740,@user-yq1yw3ju5e,tetap semangat,2024-04-30 8:09:55
741,@Louisaasifatuzarha,semua sadar usir towel negeri,2024-04-30 8:08:18
742,@MRREKOD,sebenernya ofsite lo soal bola uda oper udah deket depan main baru kaki ramadan sananta ofsite,2024-04-30 8:08:16
743,@user-ju3nq3yt9j,kartu merah rizky ridho bola 50-50 rizky coba buang bola jauh mungkin area bahaya nya main uzbek terlalu cepat kira sengaja rizky,2024-04-30 8:08:07
744,@ZilongSiTukangKabelem,kecewa,2024-04-30 8:07:48
745,@sigitallatif2783,gol pertama ga replay-nya gol dua skip sama sekali adminnya sakit hati kayak timnas kalah,2024-04-30 8:07:19
747,@user-qv2nk1ru4o,bagaimana hasil tetap bangga sdh lampau target semangat terus garuda muda jaya terus terbang lah setinggi tinggi garuda muda,2024-04-30 8:06:41
748,@FindiIdha,waset nya curang anjir asu,2024-04-30 8:05:59
749,@Marnikhaira-vl5vt,wasitt geblegg,2024-04-30 8:05:59
750,@Rimba_M_channel,struik mana kenapa gak pasang waktu itu,2024-04-30 8:05:11
751,@CuplisKajang-gb2ir,kena akumulasi kartu kuning,2024-04-30 8:02:19
752,@aghissmusic,tunggu laga vs senior uzbekistan nya smoga waktu bs hadap tim2 yg belakang nya tan ini sayang kt udh modal pemain2 mental senior level nya msh pandang lawan sama level usia sama tpi indonesia bagi besar udh langgan tim utama senior ayooo jgn pernah memble mental nya kau garuda muda main mu beda sekali lawan qatar yordania korsel lawan uzbek kayak nganggap lawan senior nya uzbek ayo benah mental mu,2024-04-30 8:02:07
753,@yosep567,korea aja maju mending,2024-04-30 8:01:42
754,@hermanwayne5701,ngapain kaki aktif gerak kan segala ridho  opo kowe ga mikir jd main penting utama kan msh tanding  kok ga mikir kan tim mu rugi ntar ,2024-04-30 8:00:55
755,@muhammadtasil6211,wasit nya curang tida adil selalu janggal timnas,2024-04-30 7:59:13
756,@kadekmertana2904,wasit jangkriiik tarkam dipke afc jangkrikkk,2024-04-30 7:58:44
757,@pujiarsya3183,wasit not fairplay,2024-04-30 7:58:38
758,@afanpradityaputrapratama291,komentator indonesia kok kok yg koment nya dah jelas2 rizky ridho sapu bola bersih gimana mau ngerem nahan kaki nya yg slah main uzbek krn nyosor sendiri arah kaki rizky ridho pas sapu bola,2024-04-30 7:57:14
759,@Stones73,gara struick gabisa main kena akumulasi kartu asa banget main indo beda belum but respect ,2024-04-30 7:57:07
760,@user-oc6fi5vj1y,gua aku uzbek memang bagus gua sedih wasit nya kaga adil yg tanggap cuma indo doang masalah ngelanggar kalo uzbek yg ngelanggar cuekin,2024-04-30 7:56:51
762,@muhamadyusuf5796,wasit nyah gobo3,2024-04-30 7:56:23
763,@ArifinZainal-nx5og,wasit kntol d ,2024-04-30 7:55:41
764,@riyanirawan5682,apa wasit kyk gt kyk bayar,2024-04-30 7:55:25
766,@bilibudiarjo1561,legowo aja,2024-04-30 7:54:05
767,@minkymon,bilang sty gagal minimal prestasi lebih dia baru terima kalo belum cuma bacot mu,2024-04-30 7:53:34
768,@GandaFridarica,terimakasih garuda muda juang jauh terimakasih coach sty,2024-04-30 7:53:09
769,@abdulrochim6895,jajah,2024-04-30 7:53:05
770,@Lilis.sitiwati,kok obsait,2024-04-30 7:53:03
771,@user-iv4uq9lx2u,rangking aja jauh qt bawah bantu wasit bar bar qt mah jauh,2024-04-30 7:52:49
772,@raiwismatara2398,wasit buruk asia,2024-04-30 7:52:28
773,@-_-2255,tim nas ubjek kistan main bola nya banyak drama,2024-04-30 8:00:37
774,@winduthree5937,gpp garuda  moga menang lawan irak klo d lihat tanding lawan jepang imbang lah bisalaha menang lawan irak amin,2024-04-30 7:52:18
775,@bondanariaputra683,gua kesel sama was it nya curang woy,2024-04-30 7:47:35
776,@g.n.tofficial,kalah menang memang tapi klau g sportif wasit yg sakit,2024-04-30 7:46:57
777,@rudinpranatakltng6217,tetap bangga,2024-04-30 7:46:40
778,@sarno1408,ongkohnamah wasitna eta berat sabeulah,2024-04-30 7:46:27
779,@muhrimrusdi5942,wasit nya pilih kasih,2024-04-30 7:46:04
780,@WinaWina-ui3yb,wasit kaga peer curang sanggat curang tetap indonesia tim nas u23 juara curang wasit kaga jelas muak liat wasit tim nas tetap juara,2024-04-30 7:44:26
782,@user-fm1yp9th1x,ganti wasib jangan pakai wasib dri cina klau indonesia yg main masa gol murni sahkan,2024-04-30 7:42:33
783,@RizalRuss,lama kenal musuh baik situ titik awal lemah moga hasil,2024-04-30 7:42:01
786,@Rusia_yt,kalau protes jangan nanggung rebut juara 3 usah tonton indonesia 1 pun,2024-04-30 7:41:47
